year,state,party,votes
1976,ALABAMA,REPUBLICAN,504070
1976,ALASKA,REPUBLICAN,71555
1976,ARIZONA,REPUBLICAN,418642
1976,ARKANSAS,REPUBLICAN,267903
1976,CALIFORNIA,REPUBLICAN,3882244
1976,COLORADO,REPUBLICAN,584278
1976,CONNECTICUT,REPUBLICAN,719261
1976,DELAWARE,REPUBLICAN,109780
1976,DISTRICT OF COLUMBIA,REPUBLICAN,27873
1976,FLORIDA,REPUBLICAN,1469531
1976,GEORGIA,REPUBLICAN,483743
1976,HAWAII,REPUBLICAN,140003
1976,IDAHO,REPUBLICAN,204151
1976,ILLINOIS,REPUBLICAN,2364269
1976,INDIANA,REPUBLICAN,1183958
1976,IOWA,REPUBLICAN,632864
1976,KANSAS,REPUBLICAN,502752
1976,KENTUCKY,REPUBLICAN,531852
1976,LOUISIANA,REPUBLICAN,587446
1976,MAINE,REPUBLICAN,236320
1976,MARYLAND,REPUBLICAN,672661
1976,MASSACHUSETTS,REPUBLICAN,1030276
1976,MICHIGAN,REPUBLICAN,1893742
1976,MINNESOTA,REPUBLICAN,819395
1976,MISSISSIPPI,REPUBLICAN,366846
1976,MISSOURI,REPUBLICAN,927443
1976,MONTANA,REPUBLICAN,173703
1976,NEBRASKA,REPUBLICAN,359219
1976,NEVADA,REPUBLICAN,101273
1976,NEW HAMPSHIRE,REPUBLICAN,185935
1976,NEW JERSEY,REPUBLICAN,1509688
1976,NEW MEXICO,REPUBLICAN,211419
1976,NEW YORK,REPUBLICAN,2825913
1976,NORTH CAROLINA,REPUBLICAN,741960
1976,NORTH DAKOTA,REPUBLICAN,153684
1976,OHIO,REPUBLICAN,2000626
1976,OKLAHOMA,REPUBLICAN,545708
1976,OREGON,REPUBLICAN,492120
1976,PENNSYLVANIA,REPUBLICAN,2205604
1976,RHODE ISLAND,REPUBLICAN,181249
1976,SOUTH CAROLINA,REPUBLICAN,346149
1976,SOUTH DAKOTA,REPUBLICAN,151505
1976,TENNESSEE,REPUBLICAN,633969
1976,TEXAS,REPUBLICAN,1953300
1976,UTAH,REPUBLICAN,337908
1976,VERMONT,REPUBLICAN,100387
1976,VIRGINIA,REPUBLICAN,836554
1976,WASHINGTON,REPUBLICAN,777732
1976,WEST VIRGINIA,REPUBLICAN,314726
1976,WISCONSIN,REPUBLICAN,1004987
1976,WYOMING,REPUBLICAN,92717
1980,ALABAMA,REPUBLICAN,654192
1980,ALASKA,REPUBLICAN,86112
1980,ARIZONA,REPUBLICAN,529688
1980,ARKANSAS,REPUBLICAN,403164
1980,CALIFORNIA,REPUBLICAN,4522994
1980,COLORADO,REPUBLICAN,652264
1980,CONNECTICUT,REPUBLICAN,677210
1980,DELAWARE,REPUBLICAN,111252
1980,DISTRICT OF COLUMBIA,REPUBLICAN,23313
1980,FLORIDA,REPUBLICAN,2046951
1980,GEORGIA,REPUBLICAN,654168
1980,HAWAII,REPUBLICAN,130112
1980,IDAHO,REPUBLICAN,290699
1980,ILLINOIS,REPUBLICAN,2358049
1980,INDIANA,REPUBLICAN,1255656
1980,IOWA,REPUBLICAN,676026
1980,KANSAS,REPUBLICAN,566812
1980,KENTUCKY,REPUBLICAN,635274
1980,LOUISIANA,REPUBLICAN,792853
1980,MAINE,REPUBLICAN,238522
1980,MARYLAND,REPUBLICAN,680606
1980,MASSACHUSETTS,REPUBLICAN,1057631
1980,MICHIGAN,REPUBLICAN,1915225
1980,MINNESOTA,REPUBLICAN,873268
1980,MISSISSIPPI,REPUBLICAN,441089
1980,MISSOURI,REPUBLICAN,1074181
1980,MONTANA,REPUBLICAN,206814
1980,NEBRASKA,REPUBLICAN,419214
1980,NEVADA,REPUBLICAN,155017
1980,NEW HAMPSHIRE,REPUBLICAN,221705
1980,NEW JERSEY,REPUBLICAN,1546557
1980,NEW MEXICO,REPUBLICAN,250779
1980,NEW YORK,REPUBLICAN,2637700
1980,NORTH CAROLINA,REPUBLICAN,915018
1980,NORTH DAKOTA,REPUBLICAN,193695
1980,OHIO,REPUBLICAN,2206545
1980,OKLAHOMA,REPUBLICAN,695570
1980,OREGON,REPUBLICAN,571044
1980,PENNSYLVANIA,REPUBLICAN,2261872
1980,RHODE ISLAND,REPUBLICAN,154793
1980,SOUTH CAROLINA,REPUBLICAN,439277
1980,SOUTH DAKOTA,REPUBLICAN,198343
1980,TENNESSEE,REPUBLICAN,787761
1980,TEXAS,REPUBLICAN,2510705
1980,UTAH,REPUBLICAN,439687
1980,VERMONT,REPUBLICAN,94628
1980,VIRGINIA,REPUBLICAN,989609
1980,WASHINGTON,REPUBLICAN,865244
1980,WEST VIRGINIA,REPUBLICAN,334206
1980,WISCONSIN,REPUBLICAN,1088845
1980,WYOMING,REPUBLICAN,110700
1984,ALABAMA,REPUBLICAN,872849
1984,ALASKA,REPUBLICAN,138377
1984,ARIZONA,REPUBLICAN,681416
1984,ARKANSAS,REPUBLICAN,534774
1984,CALIFORNIA,REPUBLICAN,5467009
1984,COLORADO,REPUBLICAN,821817
1984,CONNECTICUT,REPUBLICAN,890877
1984,DELAWARE,REPUBLICAN,152190
1984,DISTRICT OF COLUMBIA,REPUBLICAN,29009
1984,FLORIDA,REPUBLICAN,2730350
1984,GEORGIA,REPUBLICAN,1068722
1984,HAWAII,REPUBLICAN,185050
1984,IDAHO,REPUBLICAN,297523
1984,ILLINOIS,REPUBLICAN,2707103
1984,INDIANA,REPUBLICAN,1377230
1984,IOWA,REPUBLICAN,703088
1984,KANSAS,REPUBLICAN,677296
1984,KENTUCKY,REPUBLICAN,821702
1984,LOUISIANA,REPUBLICAN,1037299
1984,MAINE,REPUBLICAN,336500
1984,MARYLAND,REPUBLICAN,879918
1984,MASSACHUSETTS,REPUBLICAN,1310936
1984,MICHIGAN,REPUBLICAN,2251571
1984,MINNESOTA,REPUBLICAN,1032603
1984,MISSISSIPPI,REPUBLICAN,582377
1984,MISSOURI,REPUBLICAN,1274188
1984,MONTANA,REPUBLICAN,232450
1984,NEBRASKA,REPUBLICAN,460054
1984,NEVADA,REPUBLICAN,188770
1984,NEW HAMPSHIRE,REPUBLICAN,267050
1984,NEW JERSEY,REPUBLICAN,1933630
1984,NEW MEXICO,REPUBLICAN,307101
1984,NEW YORK,REPUBLICAN,3376519
1984,NORTH CAROLINA,REPUBLICAN,1346481
1984,NORTH DAKOTA,REPUBLICAN,200336
1984,OHIO,REPUBLICAN,2678559
1984,OKLAHOMA,REPUBLICAN,861530
1984,OREGON,REPUBLICAN,685700
1984,PENNSYLVANIA,REPUBLICAN,2584323
1984,RHODE ISLAND,REPUBLICAN,212080
1984,SOUTH CAROLINA,REPUBLICAN,615539
1984,SOUTH DAKOTA,REPUBLICAN,200267
1984,TENNESSEE,REPUBLICAN,990212
1984,TEXAS,REPUBLICAN,3433428
1984,UTAH,REPUBLICAN,469105
1984,VERMONT,REPUBLICAN,135865
1984,VIRGINIA,REPUBLICAN,1337078
1984,WASHINGTON,REPUBLICAN,1051670
1984,WEST VIRGINIA,REPUBLICAN,405483
1984,WISCONSIN,REPUBLICAN,1198584
1984,WYOMING,REPUBLICAN,133241
1988,ALABAMA,REPUBLICAN,815576
1988,ALASKA,REPUBLICAN,119251
1988,ARIZONA,REPUBLICAN,702541
1988,ARKANSAS,REPUBLICAN,466578
1988,CALIFORNIA,REPUBLICAN,5054917
1988,COLORADO,REPUBLICAN,728177
1988,CONNECTICUT,REPUBLICAN,750241
1988,DELAWARE,REPUBLICAN,139639
1988,DISTRICT OF COLUMBIA,REPUBLICAN,27590
1988,FLORIDA,REPUBLICAN,2618885
1988,GEORGIA,REPUBLICAN,1081331
1988,HAWAII,REPUBLICAN,158625
1988,IDAHO,REPUBLICAN,253881
1988,ILLINOIS,REPUBLICAN,2310939
1988,INDIANA,REPUBLICAN,1297763
1988,IOWA,REPUBLICAN,545355
1988,KANSAS,REPUBLICAN,554049
1988,KENTUCKY,REPUBLICAN,734281
1988,LOUISIANA,REPUBLICAN,883702
1988,MAINE,REPUBLICAN,307131
1988,MARYLAND,REPUBLICAN,876167
1988,MASSACHUSETTS,REPUBLICAN,1194635
