year,state,state_po,state_fips,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population,Latitude,Longitude
1976,ALABAMA,AL,1,"CARTER, JIMMY",659170,"FORD, GERALD",504070,19610,1182850,DEMOCRAT,9,0,9,3735.139,32.6010112,-86.6807365
1980,ALABAMA,AL,1,"CARTER, JIMMY",636730,"REAGAN, RONALD",654192,51007,1341929,REPUBLICAN,0,9,9,3900.368,32.6010112,-86.6807365
1984,ALABAMA,AL,1,"MONDALE, WALTER",551899,"REAGAN, RONALD",872849,16965,1441713,REPUBLICAN,0,9,9,3951.82,32.6010112,-86.6807365
1988,ALABAMA,AL,1,"DUKAKIS, MICHAEL",549506,"BUSH, GEORGE H.W.",815576,13394,1378476,REPUBLICAN,0,9,9,4023.844,32.6010112,-86.6807365
1992,ALABAMA,AL,1,"CLINTON, BILL",690080,"BUSH, GEORGE H.W.",804283,193697,1688060,REPUBLICAN,0,9,9,4139.269,32.6010112,-86.6807365
1996,ALABAMA,AL,1,"CLINTON, BILL",662165,"DOLE, ROBERT",769044,103140,1534349,REPUBLICAN,0,9,9,4290.403,32.6010112,-86.6807365
2000,ALABAMA,AL,1,"GORE, AL",692611,"BUSH, GEORGE W.",941173,32488,1666272,REPUBLICAN,0,9,9,4452.173,32.6010112,-86.6807365
2004,ALABAMA,AL,1,"KERRY, JOHN",693933,"BUSH, GEORGE W.",1176394,13088,1883415,REPUBLICAN,0,9,9,4530.729,32.6010112,-86.6807365
2008,ALABAMA,AL,1,"OBAMA, BARACK H.",813479,"MCCAIN, JOHN",1266546,19794,2099819,REPUBLICAN,0,9,9,4718.206,32.6010112,-86.6807365
2012,ALABAMA,AL,1,"OBAMA, BARACK H.",795696,"ROMNEY, MITT",1255925,22717,2074338,REPUBLICAN,0,9,9,4816.632,32.6010112,-86.6807365
2016,ALABAMA,AL,1,"CLINTON, HILLARY",729547,"TRUMP, DONALD J.",1318255,75570,2123372,REPUBLICAN,0,9,9,4866.824,32.6010112,-86.6807365
2020,ALABAMA,AL,1,"BIDEN, JOSEPH R. JR",849624,"TRUMP, DONALD J.",1441170,32488,2323282,REPUBLICAN,0,9,9,4921.532,32.6010112,-86.6807365
1976,ALASKA,AK,2,"CARTER, JIMMY",44058,"FORD, GERALD",71555,7961,123574,REPUBLICAN,0,3,3,400.969,61.3025006,-158.7750198
1980,ALASKA,AK,2,"CARTER, JIMMY",41842,"REAGAN, RONALD",86112,30491,158445,REPUBLICAN,0,3,3,405.315,61.3025006,-158.7750198
1984,ALASKA,AK,2,"MONDALE, WALTER",62007,"REAGAN, RONALD",138377,7221,207605,REPUBLICAN,0,3,3,513.702,61.3025006,-158.7750198
1988,ALASKA,AK,2,"DUKAKIS, MICHAEL",72584,"BUSH, GEORGE H.W.",119251,8281,200116,REPUBLICAN,0,3,3,541.983,61.3025006,-158.7750198
1992,ALASKA,AK,2,"CLINTON, BILL",78294,"BUSH, GEORGE H.W.",102000,78212,258506,REPUBLICAN,0,3,3,587.073,61.3025006,-158.7750198
1996,ALASKA,AK,2,"CLINTON, BILL",80380,"DOLE, ROBERT",122746,38494,241620,REPUBLICAN,0,3,3,604.918,61.3025006,-158.7750198
2000,ALASKA,AK,2,"GORE, AL",79004,"BUSH, GEORGE W.",167398,39158,285560,REPUBLICAN,0,3,3,627.963,61.3025006,-158.7750198
2004,ALASKA,AK,2,"KERRY, JOHN",111025,"BUSH, GEORGE W.",190889,10684,312598,REPUBLICAN,0,3,3,659.286,61.3025006,-158.7750198
2008,ALASKA,AK,2,"OBAMA, BARACK H.",123594,"MCCAIN, JOHN",193841,8762,326197,REPUBLICAN,0,3,3,687.455,61.3025006,-158.7750198
